date,BSX,AMAT,KO,XOM,VZ,FOXA,RF,CHK,YHOO,ORCL,FCX,EBAY,WFC,JPM,T,MU,C,HPQ,PFE,CSCO,INTC,MSFT,GE,F,AAPL,BAC
2010-01-04,9.01,14.3,28.5200005,69.150002,31.2161510434,12.3056492933,5.42,26.5752138127,17.1,24.85,41.7299995,10.0589225589,27.32,42.849998,28.58,10.85,34.0,23.8192547684,18.93,24.690001,20.879999,30.950001,15.45,10.28,30.5728568571,15.69
2010-01-05,9.04,14.19,28.174999,69.419998,31.2724294455,12.3409893993,5.6,27.4077596973,17.23,24.82,41.9799995,9.95370370369,28.07,43.68,28.440001,11.17,35.3,23.9191634877,18.66,24.58,20.870001,30.959999,15.53,10.96,30.6257132857,16.200001
2010-01-06,9.16,14.16,28.165001,70.019997,29.9404897554,12.5441696113,5.67,27.1050160833,17.17,24.459999,43.654999,9.89057239056,28.110001,43.919998,27.610001,11.22,36.4,23.6966389646,18.6,24.42,20.799999,30.77,15.45,11.37,30.1385707143,16.389999
2010-01-07,9.09,14.01,28.0949995,69.800003,29.7622737214,12.3674893993,6.17,27.1712412488,16.700001,24.379999,42.8199995,9.77693518518,29.129999,44.790001,27.299999,10.84,36.5,23.7057216167,18.530001,24.530001,20.6,30.450001,16.25,11.66,30.0828571428,16.93
2010-01-08,9.0,14.55,27.575001,69.519997,29.7810325634,12.4735,6.18,27.3509952696,16.700001,24.68,44.049999,9.8947807239,28.860001,44.68,27.1,11.1,35.9,23.8828324251,18.68,24.66,20.83,30.66,16.6,11.69,30.2828578571,16.780001
2010-01-11,9.07,14.87,28.135,70.300003,29.9029701954,12.438159894,6.32,26.4900671712,16.74,24.690001,44.044998,9.86952861952,28.799999,44.529999,26.969999,10.9,36.3,23.8101721162,18.83,24.59,20.950001,30.27,16.76,12.11,30.0157147143,16.93
2010-01-12,9.14,14.2,28.4400005,69.949997,29.9311108034,11.8816298587,6.25,26.0927152318,16.68,24.559999,42.3849985,9.76010101009,28.08,43.490002,26.959999,10.26,35.2,23.6012697548,18.77,24.200001,20.610001,30.07,16.77,11.87,29.6742858571,16.360001
2010-01-13,9.15,14.27,28.5149995,69.669998,29.8935912434,11.7844496466,6.36,26.3197738884,16.9,24.799999,43.075001,9.93265993265,28.58,44.25,26.639999,10.46,35.0,23.714804723,19.209999,24.639999,20.959999,30.35,16.83,11.68,30.0928574285,16.620001
2010-01-14,9.51,14.35,28.5650005,69.68,29.2839012074,11.8727897526,6.55,26.1778628193,17.120001,25.34,42.540001,9.62962962962,28.99,44.689999,26.190001,10.73,35.1,23.8465013624,19.379999,24.950001,21.48,30.959999,16.700001,11.76,29.9185714285,16.82
2010-01-15,9.43,13.73,28.1450005,69.110001,28.6835901233,11.6519399293,6.52,26.4049195837,16.82,25.24,42.1500015,9.45706986531,28.08,43.68,25.790001,10.13,34.2,23.8283374205,19.49,24.4,20.799999,30.860001,16.440001,11.6,29.4185714285,16.26
2010-01-19,9.62,13.97,28.209999,69.269997,29.2932810974,11.837459364,6.51,26.6887426679,16.75,25.33,42.299999,9.78956186868,28.280001,43.279999,26.200001,10.28,35.4,23.9554945504,20.0,24.85,21.049999,31.1,16.540001,11.75,30.7199992857,16.32
2010-01-20,9.48,13.8,27.75,68.029999,28.8055277553,11.5370998233,6.73,26.1684030274,16.379999,25.059999,41.7599985,9.35606060605,27.82,43.400002,25.83,9.98,34.6,23.7102629428,19.940001,24.41,21.08,30.59,16.5,11.51,30.2471428571,16.49
2010-01-21,9.2,13.58,27.1849995,66.699997,28.7304905113,11.3427597173,6.86,25.7142857143,16.200001,24.83,38.1399995,10.155723064,28.0,40.540001,25.67,9.8,32.7,23.2924604905,19.24,23.98,20.84,30.01,16.02,11.18,29.7242851428,15.47
2010-01-22,9.0,12.63,27.120001,66.099998,28.4584746393,10.9629001767,6.6,25.1844853359,15.88,24.15,37.1150015,9.92424158248,27.26,39.16,25.389999,9.13,32.5,22.3841943687,18.959999,22.969999,19.91,28.959999,16.110001,10.52,28.25,14.9
2010-01-25,9.01,12.64,27.174999,65.849998,28.7773890233,11.18375,6.55,25.5061504257,15.86,24.030001,37.299999,9.97053872053,27.66,39.209999,25.58,9.33,32.3,22.7338782925,18.85,22.99,20.32,29.32,16.370001,11.03,29.0100002857,14.98
2010-01-26,9.03,12.65,27.0699995,65.919998,28.2990174473,11.2809196113,6.08,25.0993396405,15.99,23.879999,35.994999,10.1304709596,26.99,38.439999,25.33,9.44,31.5,22.5885554042,18.780001,22.9,20.0,29.5,16.35,11.19,29.4200001428,14.77
2010-01-27,8.93,13.04,27.254999,65.540001,28.0176198093,11.1749090106,6.17,24.5316953642,15.98,23.860001,35.625,10.0883834175,28.200001,39.330002,25.620001,9.72,32.0,22.4568564941,19.0,23.15,20.24,29.67,16.299999,11.55,29.6971435714,15.19
2010-01-28,8.72,12.61,27.09,64.959999,27.5111076253,11.060069788,6.43,24.1343434248,15.44,23.469999,34.41,9.81902272726,28.450001,39.48,25.540001,9.4,32.4,21.7029963669,18.629999,22.52,19.92,29.16,16.16,11.41,28.4699992857,15.37
2010-01-29,8.63,12.18,27.125,64.43,27.5955285113,11.1395795053,6.35,23.4437095553,15.01,23.059999,33.345001,9.68855176767,28.43,38.939999,25.360001,8.72,33.2,21.3760213442,18.66,22.469999,19.4,28.18,16.08,10.84,27.4371432857,15.18
2010-02-01,8.42,12.52,27.1900005,66.18,27.7737445453,11.0689001767,6.64,24.4654683065,15.05,23.219999,35.794998,9.7516830808,28.93,39.630001,25.379999,9.17,33.4,21.7211616712,18.790001,22.73,19.610001,28.41,16.25,11.12,27.8185711428,15.42
2010-02-02,8.4,12.51,27.5249995,66.959999,27.8863032253,11.2720803887,6.58,24.8344370861,15.17,23.76,36.255001,9.71380387204,28.790001,40.549999,25.690001,9.35,34.1,22.0663024523,19.24,23.02,19.91,28.459999,16.85,11.39,27.9799995714,15.6
2010-02-03,8.36,12.28,27.4349995,66.599998,27.3797910413,12.0759690813,6.39,24.4370870388,15.46,23.75,35.2299995,9.77693518518,28.139999,40.290001,25.58,9.02,33.7,22.1298819255,18.620001,23.07,19.68,28.629999,16.68,11.64,28.4614277143,15.53
2010-02-04,8.18,11.8,26.715,64.720001,26.8545200152,11.554770318,6.12,22.8760652791,15.01,23.110001,33.369999,9.44865277777,27.059999,38.349998,25.030001,8.61,31.8,21.3578555858,18.030001,23.16,19.02,27.84,16.040001,11.06,27.4357147143,14.75
2010-02-05,8.21,12.23,26.545,64.800003,26.9576969293,11.4487597173,6.18,23.197730369,15.19,23.549999,35.1150015,9.5580803872,27.42,38.299999,25.24,8.7,32.2,21.4895544959,17.959999,23.700001,19.469999,28.02,15.79,10.91,27.9228572857,15.0
2010-02-08,8.15,12.07,26.325001,64.349998,26.6106419372,11.1660803887,6.23,22.9328297067,14.99,23.120001,34.5999985,9.46548821548,26.43,37.700001,24.98,8.91,31.5,21.6121702997,17.84,23.5,19.35,27.719999,15.6,10.97,27.7314281428,14.48
2010-02-09,8.23,12.15,27.004999,65.199997,26.9670777572,11.4045892226,6.29,23.188269631,15.07,23.51,35.790001,9.41498232322,26.709999,38.389999,25.26,9.08,31.8,21.8528605813,17.879999,23.889999,19.65,28.01,15.6,11.15,28.0271434285,14.47
2010-02-10,8.29,12.23,26.8950005,64.849998,27.0796345613,11.1395795053,6.36,23.0842005676,14.8,23.110001,35.5149995,9.24242382154,27.18,38.869999,25.120001,8.54,32.0,21.8074464123,17.74,23.76,19.690001,27.99,15.69,10.94,27.8742867143,14.67
2010-02-11,7.47,12.47,27.1100005,65.239998,27.2390917533,11.4222597173,6.38,23.7748344371,15.22,23.35,37.084999,9.31397306396,27.08,39.02,25.190001,8.53,32.1,22.0799264305,17.870001,23.93,20.059999,28.120001,15.77,11.18,28.3814277143,14.63
