Date,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
1/4/21,15316,41908,38185,61312,26848,35976,83802,28228,12725,23536,12539,72798,39437,51586,13869,187992,19746,17550,33000,13331,64896,67791,13605,96001,125800,98206,12668,31650
1/5/21,15690,41616,37908,61035,26772,37470,84934,28276,13068,23564,13167,73125,39862,51774,13967,187614,19717,17700,33050,13307,65093,70444,14553,97512,124800,100468,12724,33300
1/6/21,15984,43468,38620,61497,28625,37291,85311,27557,13543,23814,13245,72307,39666,51962,13672,187143,19863,18000,33200,13427,68829,69854,14573,97957,123700,99561,12742,33200
1/7/21,15984,42883,38699,61960,29382,37350,87482,27126,14150,23814,13560,75336,39502,52244,13770,186483,20097,18450,34600,13595,70140,69854,14429,97868,124600,100105,12928,33900
1/8/21,16145,45856,38383,63162,29268,37829,87482,27797,14309,23786,13926,76237,39829,52807,13721,186860,19951,19400,35700,13667,68698,71033,14326,99379,126500,101556,13168,35500
1/11/21,16225,49023,38185,62977,29268,38665,88048,28132,14177,23953,13795,77056,41268,53841,14361,190726,19600,20100,35250,13523,68501,75970,14202,101157,131300,105092,13039,37150
1/12/21,16091,50777,38581,63069,29117,39323,88331,28564,14124,24982,13690,76974,41268,53841,14361,193743,19921,19800,35100,13427,69222,76191,14202,101690,131500,105455,12928,36700
1/13/21,15958,49803,38343,65104,29230,39741,87765,30529,14177,24871,13612,76401,41268,53559,13967,195251,19571,19500,35150,13235,68698,74349,14306,98757,131300,103823,13224,36200
1/14/21,15958,50680,38660,64734,29608,39681,86916,31295,14150,24732,13821,75582,41824,52807,13967,193271,20652,20100,35750,13259,68108,73391,14512,98135,130700,102553,13631,36600
1/15/21,16171,50388,38660,64179,29873,39801,86444,31056,14731,24760,14005,76155,41791,52620,14115,189029,21586,21100,36850,13763,67649,74865,14697,98846,131800,103279,13798,36700
1/18/21,16011,52239,38502,63439,29192,39621,85500,31918,14388,24815,13717,77875,41333,52713,14508,188934,21207,20600,36200,13811,67715,74423,14553,98046,132000,102735,13502,37350
1/19/21,14915,50583,35811,60110,27151,37052,80215,30385,13385,23146,12774,74436,39240,49801,13623,181958,19746,19200,33900,13403,64896,71328,13605,91290,127900,97657,12557,37300
1/20/21,15129,50485,36009,59463,26961,37829,81631,29714,13464,23202,12774,74436,40156,50083,13770,183560,19454,19000,34500,13379,64962,71844,13584,91823,130000,98836,12668,36800
1/21/21,15476,51655,36800,60757,27982,39203,82575,30529,13622,24593,13507,74927,40875,51586,14115,182900,20184,20000,36200,13667,67518,72949,14058,93423,131000,100014,13409,36600
1/22/21,15316,55261,35811,59833,28436,39980,81725,30768,13781,24287,13403,76401,41595,51022,14115,182900,19717,19950,36300,13283,67518,73170,14079,93335,133800,98564,13520,36900
1/25/21,15022,56528,35296,59185,27831,40040,79932,31104,13543,24315,13193,79431,43164,50646,13918,182900,19688,19350,35800,13092,67190,73318,14079,93157,133600,98110,13298,37800
1/26/21,14862,56430,33674,55949,26092,39442,78611,28947,12936,23536,13403,78202,43164,49425,13279,179129,18695,18100,35000,12804,66141,72212,13646,90223,131000,96750,12539,37000
1/27/21,14701,56528,32685,53637,24655,37649,74553,26934,12302,22423,12565,75091,43655,47639,12590,176112,17409,17250,33500,12037,63847,69191,13790,88890,130800,93667,11798,34450
1/28/21,13686,52629,30429,49938,22953,35020,69363,25065,11457,20865,11701,69850,40614,44351,11754,163856,16212,16050,31200,11197,59390,64402,12842,82668,121700,87139,10983,32050
1/29/21,14327,54578,31577,52249,23067,37470,72005,23388,11774,21783,12277,70014,43393,46042,11705,152449,16825,16900,32000,11965,60963,68897,13028,88357,125800,93214,11113,32050
