Date,STB,VIC,SSI,MSN,FPT,HAG,KDC,EIB,DPM,VNM,REE,OGC,IJC,VCB,PNJ,BVH,ITA,HPG,CTG,SJS,QCG,PVD,CII,SBT,VSH,KDH,DIG,GMD
2021-01-04,17550.0,96001.0,19746.0,72798.0,35976.0,5290.0,35946.0,16249.0,14635.0,98206.0,37058.0,8000.0,18864.0,76646.0,58317.0,61312.0,7490.0,23536.0,26848.0,28400.0,9200.0,13106.0,22150.0,17798.0,15982.0,24257.0,18821.0,31488.0
2021-01-05,17700.0,97512.0,19717.0,73125.0,37470.0,5360.0,35946.0,16249.0,14521.0,100468.0,36985.0,8400.0,18827.0,76878.0,58031.0,61035.0,7900.0,23564.0,26772.0,28000.0,9190.0,13181.0,22300.0,18138.0,15982.0,24298.0,20063.0,32154.0
2021-01-06,18000.0,97957.0,19863.0,72307.0,37291.0,5280.0,35994.0,17083.0,14368.0,99561.0,36837.0,8980.0,18606.0,81291.0,57960.0,61497.0,7740.0,23814.0,28625.0,27700.0,8920.0,13295.0,22300.0,18053.0,15940.0,24794.0,19872.0,31774.0
2021-01-07,18450.0,97868.0,20097.0,75336.0,37350.0,5640.0,37886.0,16749.0,14559.0,100105.0,37574.0,9350.0,18606.0,82839.0,58245.0,61960.0,7890.0,23814.0,29382.0,29600.0,9150.0,14204.0,22200.0,18053.0,16766.0,25042.0,20254.0,32344.0
2021-01-08,19400.0,99379.0,19951.0,76237.0,37829.0,6030.0,38323.0,16999.0,14711.0,101556.0,37795.0,9050.0,19898.0,81136.0,58816.0,63162.0,7890.0,23786.0,29268.0,29800.0,9300.0,14886.0,22300.0,18520.0,16811.0,25207.0,20095.0,32249.0
2021-01-11,20100.0,101157.0,19600.0,77056.0,38665.0,6360.0,38323.0,16833.0,14864.0,105092.0,37721.0,8950.0,19898.0,80904.0,59031.0,62977.0,7790.0,23953.0,29268.0,29800.0,9380.0,15909.0,23700.0,19412.0,16766.0,26901.0,20031.0,32440.0
2021-01-12,19800.0,101690.0,19921.0,76974.0,39323.0,6270.0,38129.0,16833.0,14864.0,105455.0,39121.0,8780.0,19787.0,81756.0,59173.0,63069.0,8070.0,24982.0,29117.0,29000.0,9370.0,16212.0,24300.0,19412.0,16676.0,27521.0,21432.0,34580.0
2021-01-13,19500.0,98757.0,19571.0,76401.0,39741.0,6000.0,38129.0,17916.0,14864.0,103823.0,39195.0,9000.0,19750.0,81136.0,59031.0,65104.0,8050.0,24871.0,29230.0,29450.0,9120.0,15909.0,24150.0,19157.0,16676.0,27108.0,21273.0,34152.0
2021-01-14,20100.0,98135.0,20652.0,75582.0,39681.0,6070.0,38129.0,17999.0,14940.0,102553.0,39047.0,8820.0,19492.0,80439.0,58602.0,64734.0,8290.0,24732.0,29608.0,29200.0,8950.0,16174.0,23900.0,19412.0,16631.0,27273.0,21368.0,34009.0
2021-01-15,21100.0,98846.0,21586.0,76155.0,39801.0,6390.0,38129.0,18333.0,14978.0,103279.0,39416.0,8900.0,20304.0,79897.0,58888.0,64179.0,8360.0,24760.0,29873.0,29300.0,9050.0,17272.0,23850.0,20219.0,16721.0,28100.0,21464.0,34009.0
2021-01-18,20600.0,98046.0,21207.0,77875.0,39621.0,6300.0,38129.0,17874.0,15321.0,102735.0,39710.0,9170.0,20599.0,79975.0,59887.0,63439.0,8560.0,24815.0,29192.0,29000.0,9090.0,17537.0,23550.0,21239.0,16721.0,27810.0,22196.0,33201.0
2021-01-19,19200.0,91290.0,19746.0,74436.0,37052.0,5860.0,37838.0,16833.0,14254.0,97657.0,38900.0,8530.0,19160.0,76646.0,56390.0,60110.0,7970.0,23146.0,27151.0,27900.0,8460.0,16325.0,23000.0,20389.0,16225.0,26364.0,20668.0,30917.0
2021-01-20,19000.0,91823.0,19454.0,74436.0,37829.0,5700.0,37741.0,16833.0,14292.0,98836.0,39047.0,8180.0,17941.0,76723.0,57460.0,59463.0,7700.0,23202.0,26961.0,28200.0,8000.0,16174.0,23000.0,19880.0,16090.0,27108.0,20381.0,29728.0
2021-01-21,20000.0,93423.0,20184.0,74927.0,39203.0,6000.0,40360.0,16666.0,14673.0,100014.0,39489.0,8400.0,18384.0,79743.0,58816.0,60757.0,8100.0,24593.0,27982.0,28650.0,8560.0,16818.0,23400.0,20389.0,16496.0,27273.0,21241.0,31108.0
2021-01-22,19950.0,93335.0,19717.0,76401.0,39980.0,5800.0,41719.0,17083.0,14635.0,98564.0,39858.0,8020.0,18495.0,79743.0,59959.0,59833.0,7980.0,24287.0,28436.0,28000.0,8700.0,16136.0,23200.0,20262.0,16315.0,28058.0,21018.0,30537.0
2021-01-25,19350.0,93157.0,19688.0,79431.0,40040.0,5830.0,42107.0,16666.0,14635.0,98110.0,40005.0,7800.0,19787.0,79356.0,62100.0,59185.0,8010.0,24315.0,27831.0,29950.0,8420.0,15757.0,22800.0,19030.0,17442.0,29339.0,21082.0,30917.0
2021-01-26,18100.0,90223.0,18695.0,78202.0,39442.0,5530.0,41136.0,15666.0,13924.0,96750.0,39342.0,7300.0,19640.0,78117.0,60672.0,55949.0,7470.0,23536.0,26092.0,30300.0,8090.0,14659.0,21900.0,18011.0,17127.0,28761.0,19744.0,30632.0
2021-01-27,17250.0,88890.0,17409.0,75091.0,37649.0,5150.0,40457.0,14749.0,13132.0,93667.0,38237.0,6850.0,18274.0,75407.0,59602.0,53637.0,6950.0,22423.0,24655.0,32400.0,7940.0,13825.0,21900.0,16779.0,16315.0,28306.0,18375.0,29443.0
2021-01-28,16050.0,82668.0,16212.0,69850.0,35020.0,4790.0,37644.0,15083.0,12223.0,87139.0,35585.0,6380.0,17019.0,70143.0,55462.0,49938.0,6470.0,20865.0,22953.0,31900.0,7390.0,12878.0,20400.0,15632.0,15324.0,26364.0,17101.0,27398.0
2021-01-29,16900.0,88357.0,16825.0,70014.0,37470.0,4830.0,38032.0,14041.0,12539.0,93214.0,37574.0,6370.0,17019.0,72001.0,59316.0,52249.0,6420.0,21783.0,23067.0,34100.0,7700.0,13409.0,20850.0,15292.0,15775.0,26364.0,17101.0,28349.0
2021-02-01,16100.0,88001.0,15657.0,67148.0,37948.0,4500.0,37353.0,14583.0,12104.0,93123.0,36911.0,5930.0,15837.0,70530.0,56247.0,49475.0,5980.0,21338.0,24201.0,32700.0,7170.0,12500.0,20100.0,14273.0,15775.0,24711.0,17069.0,26399.0
2021-02-02,17150.0,94135.0,16241.0,68785.0,39442.0,4260.0,37983.0,14583.0,11946.0,96478.0,39416.0,5560.0,16243.0,74710.0,58174.0,50585.0,5570.0,22534.0,25638.0,32700.0,7190.0,13257.0,20650.0,15249.0,15910.0,25248.0,17642.0,26351.0
2021-02-03,18000.0,95557.0,17351.0,72798.0,41832.0,4450.0,38808.0,14916.0,12618.0,99470.0,39784.0,5760.0,17351.0,76568.0,59173.0,54099.0,5950.0,23369.0,26394.0,34600.0,7500.0,14166.0,21650.0,16311.0,16135.0,26158.0,18470.0,27635.0
2021-02-04,17600.0,93335.0,17351.0,73289.0,43326.0,4460.0,38808.0,14833.0,12618.0,98654.0,39416.0,6150.0,18089.0,76568.0,59173.0,53729.0,6010.0,23257.0,26243.0,34450.0,7600.0,14848.0,21300.0,16311.0,16180.0,27025.0,18152.0,28920.0
2021-02-05,18300.0,95557.0,18403.0,73371.0,43566.0,4560.0,38808.0,14916.0,12895.0,99380.0,39416.0,6110.0,18126.0,77420.0,59887.0,55486.0,6020.0,23647.0,27075.0,35800.0,7600.0,15113.0,20900.0,17416.0,16270.0,27067.0,18853.0,29491.0
2021-02-08,17400.0,89779.0,17877.0,70096.0,42609.0,4330.0,39584.0,14791.0,12579.0,95481.0,39784.0,5720.0,16982.0,72852.0,57746.0,53082.0,5600.0,22757.0,25751.0,36800.0,7110.0,15378.0,20900.0,17458.0,15955.0,25620.0,18343.0,28111.0
2021-02-09,18150.0,94401.0,18549.0,72634.0,44581.0,4560.0,40457.0,14833.0,12618.0,97929.0,41994.0,5960.0,17831.0,75252.0,59673.0,55394.0,5990.0,23257.0,26772.0,36400.0,7300.0,16060.0,21350.0,18605.0,16045.0,26364.0,18566.0,29110.0
